,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,onset,index,beta
0,-0.1,0.1,0.4744545011635203,1,2,1.2,1.971660149511038,0.3,1,0.525,1.2,1,10,trial 1,2.5916629010512615
1,-0.1,0.1,0.4215822088065482,1,2,1.2,2.4121960517113767,0.3,1,0.521,1.2,2,20,trial 2,2.7118037887896884
2,-0.1,0.1,0.4409538082427368,1,2,1.2,1.5522305302176895,0.3,1,0.6409999999999999,1.2,3,30,trial 3,3.528446583514959
3,-0.1,0.1,0.43478739603450606,1,2,1.2,2.604858327205009,0.3,1,0.5529999999999999,1.2,4,40,trial 4,3.016929621045633
4,-0.1,0.1,0.365565148746693,1,2,1.2,1.242913865479117,0.3,1,0.442,1.2,5,50,trial 5,2.2681551654590937
5,-0.1,0.1,0.4785408843407435,1,2,1.2,0.8950032900180227,0.3,1,0.542,1.2,6,60,trial 6,2.8517924380636552
6,-0.1,0.1,0.4662411978300568,1,2,1.2,0.9818257944994342,0.3,1,1.065,1.2,7,70,trial 7,6.247758501534969
7,-0.1,0.1,0.5324105384014926,1,2,1.2,2.115954728289944,0.3,1,0.436,1.2,8,80,trial 8,2.4548014852602167
8,-0.1,0.1,0.4225693732600693,1,2,1.2,2.8896080053514828,0.3,1,0.7020000000000001,1.2,9,90,trial 9,3.9482246852246434
9,-0.1,0.1,0.5135888939703717,1,2,1.2,3.4318624739456935,0.3,1,0.56,1.2,10,100,trial 10,3.1210372757313745
10,-0.1,0.1,0.5026497702466804,1,2,1.2,2.6900808684645856,0.3,1,0.39,1.2,11,110,trial 11,1.9612800200833471
11,-0.1,0.1,0.4305340523858823,1,2,1.2,1.5290791175664245,0.3,1,0.44299999999999995,1.2,12,120,trial 12,2.1823623562234604
12,-0.1,0.1,0.4040767559542228,1,2,1.2,1.1652018529988712,0.3,1,0.5469999999999999,1.2,13,130,trial 13,2.8360120566041993
13,-0.1,0.1,0.4536097239073032,1,2,1.2,2.8164291130930725,0.3,1,0.475,1.2,14,140,trial 14,2.429252206993045
14,-0.1,0.1,0.4147800285619053,1,2,1.2,0.8674704775510924,0.3,1,1.0959999999999999,1.2,15,150,trial 15,6.408597888001936
15,-0.1,0.1,0.5027348568099743,1,2,1.2,1.91471971102092,0.3,1,0.51,1.2,16,160,trial 16,2.9880109922988263
16,-0.1,0.1,0.527396036999663,1,2,1.2,2.085796089045548,0.3,1,0.542,1.2,17,170,trial 17,2.953557810684008
17,-0.1,0.1,0.5213742926978489,1,2,1.2,3.90826342111242,0.3,1,0.496,1.2,18,180,trial 18,2.582626956066516
